url_id;certificate;year;duration;rating;votes;metascore;total_nominations;total_wins;oscar_nominations;oscar_wins;budget;gross_us_canada;opening_weekend_gross_us_canada;worldwide_gross;aspect_ratio;color;url_image;plot
tt2277860;PG;2016;5820;7.3;271595;77;46;17;1;0;200000000;486295561;135060273;1028570942;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BNzg4MjM2NDQ4MV5BMl5BanBnXkFtZTgwMzk3MTgyODE@._V1_.jpg;Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.
tt4520988;PG;2019;6180;6.8;168054;64;90;17;1;0;150000000;477373578;130263358;1450026933;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMjA0YjYyZGMtN2U0Ni00YmY4LWJkZTItYTMyMjY3NGYyMTJkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_.jpg;Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.
tt0120915;PG;1999;8160;6.5;793810;51;69;26;3;0;115000000;474544677;64820970;1027082707;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg;Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.
tt2395427;PG-13;2015;8460;7.3;845473;66;51;8;;;250000000;459005868;191271109;1402809540;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_.jpg;When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.
tt1345836;PG-13;2012;9840;8.4;1671427;78;103;39;1;0;250000000;448149584;160887295;1081153097;1.78 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg;Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.
tt1345836;PG-13;2012;9840;8.4;1671427;78;103;39;1;0;250000000;448149584;160887295;1081153097;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg;Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.
tt0298148;PG;2004;5580;7.3;456580;75;52;18;2;0;150000000;441226247;108037878;928760770;1.85 : 1;;https://m.media-amazon.com/images/M/MV5BMDJhMGRjN2QtNDUxYy00NGM3LThjNGQtMmZiZTRhNjM4YzUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg;Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be.
tt0083866;PG;1982;6900;7.9;402853;91;36;52;5;4;10500000;435110554;11835389;792910554;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg;A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
tt1979376;G;2019;6000;7.7;244142;84;67;57;1;1;200000000;434038008;120908065;1073394593;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTYzMDM4NzkxOV5BMl5BanBnXkFtZTgwNzM1Mzg2NzM@._V1_.jpg;When a new toy called Forky joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.
tt4154664;PG-13;2019;7380;6.8;544855;64;56;9;;;160000000;426829839;153433423;1128462972;2.39 : 1;;https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_.jpg;Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
tt1951264;PG-13;2013;8760;7.5;656545;76;68;22;;;130000000;424668047;158074286;865011746;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_.jpg;Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
tt0383574;PG-13;2006;9060;7.3;708932;53;54;45;3;1;225000000;423315812;135634554;1066179747;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_.jpg;Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.
tt0110357;G;1994;5280;8.5;1037167;88;35;40;2;2;45000000;422783777;1586753;1063611805;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BYTYxNGMyZTYtMjE3MS00MzNjLWFjNmYtMDk3N2FmM2JiM2M1XkEyXkFqcGdeQXVyNjY5NDU4NzI@._V1_.jpg;Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.
tt4881806;PG-13;2018;7680;6.1;311046;51;26;4;;;170000000;417719760;148024610;1310466296;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BNzIxMjYwNDEwN15BMl5BanBnXkFtZTgwMzk5MDI3NTM@._V1_.jpg;When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.
tt0435761;G;2010;6180;8.3;823288;92;96;61;3;2;200000000;415004880;110307189;1066970811;1.78 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg;The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.
tt0451279;PG-13;2017;8460;7.4;645864;76;72;32;;;149000000;412845172;103251471;822854286;2.39 : 1;;https://m.media-amazon.com/images/M/MV5BMTYzODQzYjQtNTczNC00MzZhLTg1ZWYtZDUxYmQ3ZTY4NzA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg;When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.
tt1300854;PG-13;2013;7800;7.1;835605;62;63;20;1;0;200000000;409013994;174144585;1214811252;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMjE5MzcyNjk1M15BMl5BanBnXkFtZTcwMjQ4MjcxOQ@@._V1_.jpg;When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.
tt3498820;PG-13;2016;8820;7.8;767881;75;73;16;;;250000000;408084349;179139142;1153337496;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_.jpg;Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
tt1392170;PG-13;2012;8520;7.2;905594;68;48;33;0;1;78000000;408010692;152535747;694394724;2.35 : 1;Color;https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_.jpg;Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
tt1392170;PG-13;2012;8520;7.2;905594;68;48;33;0;1;78000000;408010692;152535747;694394724;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_.jpg;Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
tt2283362;PG-13;2017;7140;6.9;371448;58;15;5;;;90000000;404540171;36169328;962542945;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BODQ0NDhjYWItYTMxZi00NTk2LWIzNDEtOWZiYWYxZjc2MTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg;Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.
tt0145487;PG-13;2002;7260;7.4;803679;73;63;16;2;0;139000000;407022860;114844116;825025036;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_.jpg;When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.
tt0107290;PG-13;1993;7620;8.2;970361;68;27;44;0;3;63000000;404214720;47026828;1099699003;;;https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_.jpg;A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
tt1055369;PG-13;2009;8940;5.9;404891;35;31;15;1;0;200000000;402111870;108966307;836303693;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_.jpg;Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.
tt2294629;PG;2013;6120;7.4;616518;75;60;82;0;2;150000000;400953009;243390;1281508100;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_.jpg;When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.
tt6320628;PG-13;2019;7740;7.4;474553;69;26;11;;;160000000;390532085;92579212;1131927996;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg;Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.
tt6320628;PG-13;2019;7740;7.4;474553;69;26;11;;;160000000;390532085;92579212;1131927996;2.39 : 1;Black and White;https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg;Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.
tt3896198;PG-13;2017;8160;7.6;663209;67;59;15;1;0;200000000;389813101;146510104;863756051;2.39 : 1;;https://m.media-amazon.com/images/M/MV5BNjM0NTc0NzItM2FlYS00YzEwLWE0YmUtNTA2ZWIzODc2OTgxXkEyXkFqcGdeQXVyNTgwNzIyNzg@._V1_.jpg;The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.
tt1201607;PG-13;2011;7800;8.1;857275;85;94;46;3;0;125000000;381447587;169189427;1342359942;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMGVmMWNiMDktYjQ0Mi00MWIxLTk0N2UtN2ZlYTdkN2IzNDNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg;Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.
tt0266543;G;2003;6000;8.2;1027697;90;63;48;3;1;94000000;380843261;70251710;940352645;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BZTAzNWZlNmUtZDEzYi00ZjA5LWIwYjEtZGM1NWE1MjE4YWRhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg;After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.
tt0121766;PG-13;2005;8400;7.6;778197;68;63;26;1;0;113000000;380270577;108435841;868390560;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_.jpg;Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.
tt0167260;PG-13;2003;12060;9;1796947;94;124;209;0;11;94000000;378251207;72629713;1146436214;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg;Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
tt0316654;PG-13;2004;7620;7.4;641226;83;60;25;2;1;200000000;373585825;88156227;788976453;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMzY2ODk4NmUtOTVmNi00ZTdkLTlmOWYtMmE2OWVhNTU2OTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg;Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.
tt0335345;R;2004;7620;7.2;230909;47;24;29;3;0;30000000;370782930;83848082;612054506;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BYjE2MDNhMzItNmMzNi00NzY1LWIwNTktNmE5ZWE4OTcyNjJhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg;Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.
tt2709768;PG;2016;5220;6.5;200384;61;15;4;;;75000000;368384330;104352905;875458631;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BMjIzMzA1OTkzNV5BMl5BanBnXkFtZTgwODE3MjM4NzE@._V1_.jpg;The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.
tt1690953;PG;2013;5880;7.3;396365;62;66;12;2;0;76000000;368065385;83517315;970766005;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTQxNzY1MjI5NF5BMl5BanBnXkFtZTcwNTI0MDY1OQ@@._V1_.jpg;When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.
tt3040964;PG;2016;6360;7.4;275249;77;55;33;0;1;175000000;364001123;103261464;966554929;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_.jpg;After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.
tt1431045;R;2016;6480;8;1011353;65;78;28;;;58000000;363070709;132434639;782836791;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BYzE5MjY1ZDgtMTkyNC00MTMyLThhMjAtZGI5OTE1NzFlZGJjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg;A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.
tt2096673;PG;2015;5700;8.2;697910;94;117;101;1;1;175000000;356921711;90440272;858848019;1.78 : 1;Color;https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_.jpg;After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.
tt6139732;PG;2019;7680;6.9;260943;53;39;9;;;183000000;355559216;91500929;1050693953;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_.jpg;A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
tt2820852;PG-13;2015;8220;7.1;386714;67;36;36;;;190000000;353007020;147187040;1515341399;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTQxOTA2NDUzOV5BMl5BanBnXkFtZTgwNzY2MTMxMzE@._V1_.jpg;Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
tt1399103;PG-13;2011;9240;6.2;405546;42;42;11;3;0;195000000;352390543;97852865;1123794079;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_.jpg;The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.
tt2179136;R;2014;7980;7.3;480114;72;43;24;5;1;58800000;350159020;633456;547459020;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTkxNzI3ODI4Nl5BMl5BanBnXkFtZTgwMjkwMjY4MjE@._V1_.jpg;Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.
tt0167261;PG-13;2002;10740;8.8;1622839;87;138;126;4;2;94000000;342952511;62007528;947896241;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg;While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.
tt2948356;PG;2016;6480;8;488759;78;72;47;0;1;150000000;341268248;75063401;1024121104;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_.jpg;In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.
tt1951265;PG-13;2014;7380;6.6;449452;64;32;21;;;125000000;337135885;121897634;755356711;2.35 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_.jpg;Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.
tt1951265;PG-13;2014;7380;6.6;449452;64;32;21;;;125000000;337135885;121897634;755356711;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1_.jpg;Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.
tt0413300;PG-13;2007;8340;6.2;580773;59;44;4;1;0;258000000;336530303;151116516;894983373;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg;A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.
tt2293640;PG;2015;5460;6.4;235014;56;29;4;1;0;74000000;336045770;115718405;1159444662;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_.jpg;Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.
tt7286456;R;2019;7320;8.4;1221736;59;239;122;9;2;55000000;335477657;96202337;1074445730;1.85 : 1;Color;https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg;A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.
tt1477834;PG-13;2018;8580;6.8;462547;55;39;2;;;160000000;335104314;67873522;1148528393;2.39 : 1;Color;https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_.jpg;Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.
